Vianco_data,,,
Gattung,GewogenAm,GewichtBezahlt,TVD
650 - SPG Kuhkalb,2017-01-13,75,12013279406268
650 - SPG Kuhkalb,2017-01-13,75,12013279406269
650 - SPG Kuhkalb,2017-01-13,75,12013279406270
650 - SPG Kuhkalb,2017-01-13,75,12013279406271
650 - SPG Kuhkalb,2017-01-13,75,12013279406272
650 - SPG Kuhkalb,2017-01-13,75,12013279406273
650 - SPG Kuhkalb,2017-01-13,75,12013279406274
650 - SPG Kuhkalb,2017-01-13,75,12013279406275
650 - SPG Kuhkalb,2017-01-13,75,12013279406276
650 - SPG Kuhkalb,2017-01-13,75,12013279406277
650 - SPG Kuhkalb,2017-01-13,75,12013279406278
650 - SPG Kuhkalb,2017-01-13,75,12013279406279
650 - SPG Kuhkalb,2017-01-13,75,12013279406280
650 - SPG Kuhkalb,2017-01-13,75,12013279406281
650 - SPG Kuhkalb,2017-01-20,57,12013279406282
640 - SPG Stierkalb,2017-01-20,58,12013279406283
650 - SPG Kuhkalb,2017-01-20,60,12013279406284
640 - SPG Stierkalb,2017-01-20,61,12013279406285
650 - SPG Kuhkalb,2017-01-20,61,12013279406286
650 - SPG Kuhkalb,2017-01-20,61,12013279406287
650 - SPG Kuhkalb,2017-01-20,61,12013279406288
640 - SPG Stierkalb,2017-01-20,62,12013279406289
650 - SPG Kuhkalb,2017-01-20,65,12013279406290
650 - SPG Kuhkalb,2017-01-20,65,12013279406291
640 - SPG Stierkalb,2017-01-20,67,12013279406292
640 - SPG Stierkalb,2017-01-20,67,12013279406293
650 - SPG Kuhkalb,2017-01-20,67,12013279406294
640 - SPG Stierkalb,2017-01-20,68,12013279406295
650 - SPG Kuhkalb,2017-01-20,68,12013279406296
650 - SPG Kuhkalb,2017-01-20,68,12013279406297
650 - SPG Kuhkalb,2017-01-20,68,12013279406298
650 - SPG Kuhkalb,2017-01-20,69,12013279406299
650 - SPG Kuhkalb,2017-01-20,69,12013279406300
640 - SPG Stierkalb,2017-01-20,70,12013279406301
640 - SPG Stierkalb,2017-01-20,70,12013279406302
640 - SPG Stierkalb,2017-01-20,70,12013279406303
640 - SPG Stierkalb,2017-01-20,70,12013279406304
650 - SPG Kuhkalb,2017-01-20,70,12013279406305
650 - SPG Kuhkalb,2017-01-20,70,12013279406306
650 - SPG Kuhkalb,2017-01-20,70,12013279406307
640 - SPG Stierkalb,2017-01-20,71,12013279406308
650 - SPG Kuhkalb,2017-01-20,71,12013279406309
650 - SPG Kuhkalb,2017-01-20,72,12013279406310
650 - SPG Kuhkalb,2017-01-20,72,12013279406311
650 - SPG Kuhkalb,2017-01-20,72,12013279406312
640 - SPG Stierkalb,2017-01-20,73,12013279406313
640 - SPG Stierkalb,2017-01-20,73,12013279406314
640 - SPG Stierkalb,2017-01-20,73,12013279406315
